CONTRACT_KEY,EMP_CODE,CONTRACT_CODE,CONTRACT_START_DATE,CONTRACT_END_DATE,PAID_HOURS,CONTRACT_QUALIF_CODE,CONTRACT_TYPE_CODE,DATE_DEBUT_CONTRAT,NUDOSS,QUALIFDESCRIPTION
42981_20140101_20210202,42981,C01,2014-01-01,2021-02-02 00:00:00,100.0,EMP     ,IE      ,2014-01-01,42981,Employé                                      
43001_20140101_29991231,43001,C01,2014-01-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43001,Employé                                      
43441_20170101_29991231,43441,C01,2017-01-01,2999-12-31 00:00:00,100.0,EMP     ,DE      ,2017-01-01,43441,Employé                                      
43481_20170101_29991231,43481,C01,2017-01-01,2999-12-31 00:00:00,100.0,PEN     ,DE      ,2017-01-01,43481,Pensionné                                    
43521_20160605_20140625,43521,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43521,Employé                                      
43521_20140101_20140625,43521,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43521,Employé                                      
43521_20160605_20170915,43521,C01,2016-06-05,2017-09-15 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43521,Employé                                      
43521_20140101_20170915,43521,C01,2016-06-05,2017-09-15 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43521,Employé                                      
43581_20160605_20140625,43581,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43581,Employé                                      
43581_20140101_20140625,43581,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43581,Employé                                      
43581_20160605_20170925,43581,C01,2016-06-05,2017-09-25 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43581,Employé                                      
43581_20140101_20170925,43581,C01,2016-06-05,2017-09-25 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43581,Employé                                      
43641_20160605_20140625,43641,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43641,Employé                                      
43641_20140101_20140625,43641,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43641,Employé                                      
43641_20160605_20170915,43641,C01,2016-06-05,2017-09-15 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43641,Employé                                      
43641_20140101_20170915,43641,C01,2016-06-05,2017-09-15 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43641,Employé                                      
43741_20160605_20140625,43741,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43741,Employé                                      
43741_20140101_20140625,43741,C01,2014-01-01,2014-06-25 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43741,Employé                                      
43741_20160605_20170915,43741,C01,2016-06-05,2017-09-15 00:00:00,100.0,EMP     ,IE      ,2016-06-05,43741,Employé                                      
43741_20140101_20170915,43741,C01,2016-06-05,2017-09-15 00:00:00,100.0,EMP     ,IE      ,2014-01-01,43741,Employé                                      
43822_20171101_20171030,43822,C01,2017-10-01,2017-10-30 00:00:00,100.0,EMP     ,IE      ,2017-11-01,43822,Employé                                      
43822_20171001_20171030,43822,C01,2017-10-01,2017-10-30 00:00:00,100.0,EMP     ,IE      ,2017-10-01,43822,Employé                                      
43822_20171101_20180228,43822,C01,2017-11-01,2018-02-28 00:00:00,50.0,EMP     ,IE      ,2017-11-01,43822,Employé                                      
43822_20171001_20180228,43822,C01,2017-11-01,2018-02-28 00:00:00,50.0,EMP     ,IE      ,2017-10-01,43822,Employé                                      
43822_20171101_29991231,43822,C01,2018-03-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-11-01,43822,Employé                                      
43822_20171001_29991231,43822,C01,2018-03-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-10-01,43822,Employé                                      
43822_20171101_29991231,43822,C02,2017-11-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-11-01,43822,Employé                                      
43822_20171001_29991231,43822,C02,2017-11-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-10-01,43822,Employé                                      
43823_20150701_20171129,43823,C01,2015-07-01,2017-11-29 00:00:00,100.0,EMP     ,IE      ,2015-07-01,43823,Employé                                      
43823_20150701_20180228,43823,C01,2017-12-01,2018-02-28 00:00:00,100.0,PRE     ,CO      ,2015-07-01,43823,Prépensionné                                 
43823_20150701_29991231,43823,C01,2018-03-01,2999-12-31 00:00:00,100.0,PRE     ,CO      ,2015-07-01,43823,Prépensionné                                 
36961_20170816_20220119,36961,C01,2017-08-16,2022-01-19 00:00:00,100.0,EMP     ,IE      ,2017-08-16,36961,Employé                                      
36961_20150101_20220119,36961,C01,2017-08-16,2022-01-19 00:00:00,100.0,EMP     ,IE      ,2015-01-01,36961,Employé                                      
13741_20170411_29991231,13741,C01,2017-03-01,2999-12-31 00:00:00,100.0,CAA     ,DI      ,2017-04-11,13741,Cadre catégorie A                            
13741_20170130_29991231,13741,C01,2017-03-01,2999-12-31 00:00:00,100.0,CAA     ,DI      ,2017-01-30,13741,Cadre catégorie A                            
13741_20150510_29991231,13741,C01,2017-03-01,2999-12-31 00:00:00,100.0,CAA     ,DI      ,2015-05-10,13741,Cadre catégorie A                            
13741_20150101_29991231,13741,C01,2017-03-01,2999-12-31 00:00:00,100.0,CAA     ,DI      ,2015-01-01,13741,Cadre catégorie A                            
39561_20150101_29991231,39561,C01,2015-01-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2015-01-01,39561,Employé                                      
40383_20160401_29991231,40383,C01,2016-04-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2016-04-01,40383,Employé                                      
40381_20160401_29991231,40381,C01,2016-04-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2016-04-01,40381,Employé                                      
40382_20160401_29991231,40382,C01,2016-04-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2016-04-01,40382,Employé                                      
40384_20160401_29991231,40384,C01,2016-04-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2016-04-01,40384,Employé                                      
40385_20160401_29991231,40385,C01,2016-04-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2016-04-01,40385,Employé                                      
40386_20160401_20170828,40386,C01,2016-04-01,2017-08-28 00:00:00,100.0,EMP     ,PR      ,2016-04-01,40386,Employé                                      
40386_20160401_29991231,40386,C01,2017-09-01,2999-12-31 00:00:00,80.0,EMP     ,IE      ,2016-04-01,40386,Employé                                      
40387_20160401_20170828,40387,C01,2016-04-01,2017-08-28 00:00:00,100.0,EMP     ,IE      ,2016-04-01,40387,Employé                                      
40387_20160401_29991231,40387,C01,2017-09-01,2999-12-31 00:00:00,80.0,EMP     ,IE      ,2016-04-01,40387,Employé                                      
40388_20160401_20160430,40388,C01,2016-04-01,2016-04-30 00:00:00,100.0,ETM     ,ET      ,2016-04-01,40388,Etudiant mensuel                             
40388_20160401_20170730,40388,C01,2017-07-25,2017-07-30 00:00:00,100.0,ETM     ,ET      ,2016-04-01,40388,Etudiant mensuel                             
40388_20160401_20170930,40388,C01,2017-09-25,2017-09-30 00:00:00,100.0,ETM     ,ET      ,2016-04-01,40388,Etudiant mensuel                             
40389_20170716_29991231,40389,C01,2016-04-01,2999-12-31 00:00:00,30.0,EMP     ,IE      ,2017-07-16,40389,Employé                                      
40389_20160401_29991231,40389,C01,2016-04-01,2999-12-31 00:00:00,30.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_29991231,40389,C01,2016-04-01,2999-12-31 00:00:00,30.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_29991231,40389,C01,2016-04-01,2999-12-31 00:00:00,30.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20170716_29991231,40389,C02,2016-04-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-07-16,40389,Employé                                      
40389_20160401_29991231,40389,C02,2016-04-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_29991231,40389,C02,2016-04-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_29991231,40389,C02,2016-04-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20170716_20170715,40389,C03,2016-04-01,2017-07-15 00:00:00,20.0,EMP     ,IE      ,2017-07-16,40389,Employé                                      
40389_20160401_20170715,40389,C03,2016-04-01,2017-07-15 00:00:00,20.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_20170715,40389,C03,2016-04-01,2017-07-15 00:00:00,20.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_20170715,40389,C03,2016-04-01,2017-07-15 00:00:00,20.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20170716_29991231,40389,C04,2017-07-16,2999-12-31 00:00:00,20.0,EMP     ,IE      ,2017-07-16,40389,Employé                                      
40389_20160401_29991231,40389,C04,2017-07-16,2999-12-31 00:00:00,20.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_29991231,40389,C04,2017-07-16,2999-12-31 00:00:00,20.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40389_20160401_29991231,40389,C04,2017-07-16,2999-12-31 00:00:00,20.0,EMP     ,IE      ,2016-04-01,40389,Employé                                      
40390_20170801_20170730,40390,C01,2017-07-01,2017-07-30 00:00:00,100.0,EMP     ,IE      ,2017-08-01,40390,Employé                                      
40390_20170701_20170730,40390,C01,2017-07-01,2017-07-30 00:00:00,100.0,EMP     ,IE      ,2017-07-01,40390,Employé                                      
40390_20170801_20171130,40390,C01,2017-08-01,2017-11-30 00:00:00,50.0,EMP     ,IE      ,2017-08-01,40390,Employé                                      
40390_20170701_20171130,40390,C01,2017-08-01,2017-11-30 00:00:00,50.0,EMP     ,IE      ,2017-07-01,40390,Employé                                      
40390_20170801_29991231,40390,C01,2017-12-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-08-01,40390,Employé                                      
40390_20170701_29991231,40390,C01,2017-12-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-07-01,40390,Employé                                      
40390_20170801_29991231,40390,C02,2017-08-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-08-01,40390,Employé                                      
40390_20170701_29991231,40390,C02,2017-08-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2017-07-01,40390,Employé                                      
40392_20150401_20170829,40392,C01,2015-04-01,2017-08-29 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40392,Employé                                      
