ENTRY_EXIT_KEY,EMP_CODE,ENTRY_DATE,EXIT_DATE,ENTRY_PATTERN_CODE,EXIT_PATTERN_CODE,REASON_EXIT_CODE,LIB_ENTRY_PATTERN,LIB_EXIT_PATTERN,LIB_REASON_EXIT
18275_20150301_20160430,18275,2015-03-01,2016-04-30,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
18301_20150101_20190218,18301,2015-01-01,2019-02-18,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
14701_20160101_20160301,14701,2016-01-01,2016-03-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
15001_20150101_20160501,15001,2015-01-01,2016-05-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
15041_20150101_20151231,15041,2015-01-01,2015-12-31,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
15081_20150101_20160601,15081,2015-01-01,2016-06-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
15561_20160101_20160131,15561,2016-01-01,2016-01-31,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
15562_20140101_20150101,15562,2014-01-01,2015-01-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
2821_20140101_20150101,2821,2014-01-01,2015-01-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
15461_20150201_20150331,15461,2015-02-01,2015-03-31,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
15601_20130101_20150630,15601,2013-01-01,2015-06-30,001,003,TRANSF,Nouvelle entrée                              ,Mutation                                     ,Transféré - Valeur technique                 
123262_20180906_20180906,123262,2018-09-06,2018-09-06,002,004,DEMISS,Réembauche                                   ,Sortie                                       ,Démission                                    
16082_20140101_20160201,16082,2014-01-01,2016-02-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
945_20100101_20100615,945,2010-01-01,2010-06-15,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
1801_20150101_20150810,1801,2015-01-01,2015-08-10,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
1901_20150101_20151001,1901,2015-01-01,2015-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
16181_20140101_20160201,16181,2014-01-01,2016-02-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
525_20120101_20130930,525,2012-01-01,2013-09-30,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
16221_20140101_20160201,16221,2014-01-01,2016-02-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
